Serial No.,Course ID,Course Name,Teacher Name,Teacher Rating,Teacher Friendliness,Course Difficulty,Teacher Teaching Skills,Number of Credits
1,CSE3002 ,Internet and Web Programming,Dr. harjeet,3,5,4,2,4
2,CSE4011 ,Virtualization,Dr. ved,5,2,0,1,2
3,MAT3004 ,Applied Linear Algebra,Dr. kaushik,4,2,3,3,4
4,CSE3009 ,Internet of Things,Dr. pirmika,4,1,2,5,2
5,CSE4004 ,Digital Forensics,Dr. rony,2,5,1,5,5
6,EEE1001,Basic Electrical and Electronics Engineering,Dr. jiwan,4,5,1,2,2
7,CSE1004 ,Network and Communication,Dr. sahdab,4,5,0,4,3
8,CSE3018 ,Content Based Image and Video Retrieval,Dr. srita,1,5,3,5,3
9,CSE4014 ,High Performance Computing,Dr. raju,4,4,4,2,4
10,CSE4003 ,Cyber Security,Dr. pratap,5,3,3,2,5
11,CSE3020 ,Data Visualization,Dr. harshi,4,3,1,1,3
12,CSE3501,Information Security Analysis and Audit,Dr. somil,1,1,1,4,5
13,CSE1003 ,Digital Logic and Design,Dr. kalwant,3,1,4,4,5
14,CSE3009 ,Internet of Things,Dr. ramdhani,4,5,2,5,4
15,CSE3020 ,Data Visualization,Dr. chhagan,2,5,6,3,5
16,CSE1004 ,Network and Communication,Dr. anupuma,1,2,3,1,3
17,CSE4020 ,Machine Learning,Dr. dibya,1,3,1,1,5
18,CSE1003 ,Digital Logic and Design,Dr. goldi,5,1,3,3,5
19,CSE3501,Information Security Analysis and Audit,Dr. priyanshu,2,2,3,2,5
20,CSE2001 ,Computer Architecture and Organization,Dr. prateek,2,4,1,1,3
21,CSE3001 ,Software Engineering,Dr. taniya,5,1,0,5,2
22,CSE3024 ,Web Mining,Dr. veerbhan,5,4,4,3,5
23,CSE3505,Foundations of Data Analytics,Dr. iqram,1,5,1,4,2
24,CSE2005 ,Operating Systems,Dr. bittan,4,1,1,3,3
25,ECE3501,IoT Fundamentals,Dr. smt,5,1,2,3,4
26,CSE2001 ,Computer Architecture and Organization,Dr. kanak,1,4,3,3,5
27,CSE4015 ,Human Computer Interaction,Dr. sahima,4,4,0,3,5
28,CSE1004 ,Network and Communication,Dr. rahi,1,2,1,1,2
29,CSE3502,Information Security Management,Dr. prittam,2,4,1,5,4
30,CSE4019 ,Image Processing,Dr. ghisaram,1,4,1,3,3
31,CSE2013,Theory of Computation,Dr. itwari,3,2,3,5,3
32,CSE4014 ,High Performance Computing,Dr. rozi,5,5,0,4,2
33,EEE1001,Basic Electrical and Electronics Engineering,Dr. ranjit,5,5,0,5,2
34,ECE3502,IoT Domain Analyst,Dr. begumpur,5,1,0,4,2
35,CSE3501,Information Security Analysis and Audit,Dr. khalil,4,3,1,3,3
36,CSE3002 ,Internet and Web Programming,Dr. saleem,1,3,2,5,5
37,CSE4015 ,Human Computer Interaction,Dr. amin,3,2,0,2,3
38,CSE3011 ,Robotics and its Applications,Dr. khusbhoo,4,3,6,2,5
39,CSE4019 ,Image Processing,Dr. bhteri,3,5,3,4,3
40,CSE4014 ,High Performance Computing,Dr. meenat,5,1,1,3,2
41,CSE2011 ,Data Structures and Algorithms,Dr. daksh,4,4,2,4,4
42,CSE3021 ,Social and Information Networks,Dr. bhola,4,5,1,3,2
43,CSE4001 ,Parallel and Distributed Computing,Dr. riyaz,3,2,3,4,3
44,CSE3025 ,Large Scale Data Processing,Dr. mudssir,5,1,3,3,3
45,CSE4020 ,Machine Learning,Dr. chandani,4,1,0,3,3
46,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. tajmaha,5,4,3,4,4
47,CSE2001 ,Computer Architecture and Organization,Dr. taki,3,1,2,5,2
48,EEE1001,Basic Electrical and Electronics Engineering,Dr. mariam,4,1,3,3,4
49,CSE4014 ,High Performance Computing,Dr. mudsay,4,1,1,4,2
50,MAT2002,Applications of Differential and Difference Equations,Dr. davinder,4,1,1,5,3
51,CSE2014,Compiler Design,Dr. harison,5,4,2,1,3
52,MAT1014,Discrete Mathematics and Graph Theory,Dr. udaiveer,4,3,1,5,2
53,CSE3029 ,Game Programming,Dr. belo,4,2,1,1,3
54,CSE3505,Foundations of Data Analytics,Dr. siwani,3,4,1,5,2
55,CSE3029 ,Game Programming,Dr. hitlar,2,1,4,1,4
56,CSE2013,Theory of Computation,Dr. ankala,1,5,3,4,2
57,CSE4022 ,Natural Language Processing,Dr. ranu,5,5,2,1,4
58,CSE3025 ,Large Scale Data Processing,Dr. javuneesha,1,1,3,3,4
59,CSE1007 ,Java Programming,Dr. mosam,3,3,1,3,2
60,CSE2005 ,Operating Systems,Dr. pukharam,3,2,0,4,5
61,CSE3006 ,Embedded System Design,Dr. ikramudeen,3,5,1,3,2
62,CSE3502,Information Security Management,Dr. harshit,2,5,4,5,3
63,EEE1001,Basic Electrical and Electronics Engineering,Dr. aishwarya,2,5,0,5,2
64,CSE3029 ,Game Programming,Dr. hasmita,5,3,1,3,2
65,CSE4020 ,Machine Learning,Dr. rina/,4,1,1,1,3
66,CSE1007 ,Java Programming,Dr. ruksaar,5,3,0,3,2
67,CSE4019 ,Image Processing,Dr. pooja/varsha,5,4,1,3,2
68,CSE3501,Information Security Analysis and Audit,Dr. imam,2,3,5,2,4
69,CSE4022 ,Natural Language Processing,Dr. kouchu,3,4,2,5,3
70,CSE4001 ,Parallel and Distributed Computing,Dr. anil,1,4,3,5,2
71,CSE1003 ,Digital Logic and Design,Dr. nadir,2,5,4,4,3
72,CSE2001 ,Computer Architecture and Organization,Dr. uda,2,2,3,3,4
73,ECE3501,IoT Fundamentals,Dr. sahana,1,5,1,2,2
74,CSE3020 ,Data Visualization,Dr. manjesh,5,5,3,3,2
75,CSE3020 ,Data Visualization,Dr. niraj,2,1,3,3,3
76,CSE1007 ,Java Programming,Dr. dharmraj,2,1,0,1,5
77,CSE3506,Essentials of Data Analytics,Dr. nathuram,3,1,1,3,4
78,EEE1001,Basic Electrical and Electronics Engineering,Dr. rma,2,1,1,1,3
79,EEE1001,Basic Electrical and Electronics Engineering,Dr. jafar,5,2,1,2,2
80,CSE4004 ,Digital Forensics,Dr. rameswar,2,3,2,1,2
81,ECE3502,IoT Domain Analyst,Dr. shailesh,1,5,1,2,4
82,CSE3018 ,Content Based Image and Video Retrieval,Dr. niru,2,1,2,3,2
83,CSE3506,Essentials of Data Analytics,Dr. jyotsana,2,1,2,1,5
84,CSE2001 ,Computer Architecture and Organization,Dr. muksndi,1,3,2,1,3
85,CSE2023,Robotic Process Automation,Dr. arati,5,1,2,3,4
86,CSE2013,Theory of Computation,Dr. bhimsen,3,1,6,1,5
87,CSE4015 ,Human Computer Interaction,Dr. dila,3,5,2,3,4
88,CSE3506,Essentials of Data Analytics,Dr. lave,3,3,2,1,2
89,MAT2002,Applications of Differential and Difference Equations,Dr. divaraj,1,3,1,3,2
90,ECE3501,IoT Fundamentals,Dr. mayank,2,4,2,5,5
91,CSE4011 ,Virtualization,Dr. meer,4,4,0,1,5
92,CSE2012,Design and analysis of algorithms,Dr. sabiya,1,5,3,1,4
93,CSE2001 ,Computer Architecture and Organization,Dr. roshni,1,5,1,5,2
94,CSE2023,Robotic Process Automation,Dr. babuddin,1,3,2,5,4
95,CSE3024 ,Web Mining,Dr. abash,4,1,3,4,2
96,CSE3024 ,Web Mining,Dr. nadim,4,1,2,3,2
97,CSE3009 ,Internet of Things,Dr. gordhanlal,3,1,2,2,4
98,CSE3029 ,Game Programming,Dr. dharmvir,3,2,2,5,3
99,MAT2002,Applications of Differential and Difference Equations,Dr. gangaram,2,2,3,1,5
100,CSE4011 ,Virtualization,Dr. jawhar,5,5,2,3,2
101,CSE2001 ,Computer Architecture and Organization,Dr. bobi,5,5,1,4,3
102,CSE2011 ,Data Structures and Algorithms,Dr. arbaj,2,3,2,5,2
103,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. ruka,5,4,0,4,3
104,CSE2013,Theory of Computation,Dr. vikramjeet,4,3,5,5,5
105,CSE4015 ,Human Computer Interaction,Dr. hasibullah,2,2,4,1,5
106,MAT3004 ,Applied Linear Algebra,Dr. aayesha,3,1,3,1,3
107,CSE3502,Information Security Management,Dr. mehwish,3,3,3,3,2
108,CSE3006 ,Embedded System Design,Dr. sonam,2,1,1,4,5
109,CSE3001 ,Software Engineering,Dr. yusaf,3,4,2,3,5
110,CSE3021 ,Social and Information Networks,Dr. sahrul,1,3,0,1,4
111,MAT3004 ,Applied Linear Algebra,Dr. nazirul,4,3,3,2,3
112,CSE3009 ,Internet of Things,Dr. pushpender,4,3,1,2,5
113,CSE3029 ,Game Programming,Dr. umesha,5,5,4,4,5
114,CSE3025 ,Large Scale Data Processing,Dr. bhrat,3,2,2,5,3
115,CSE1003 ,Digital Logic and Design,Dr. alam,5,1,2,2,3
116,CSE3009 ,Internet of Things,Dr. sumesh,1,1,1,1,3
117,CSE3011 ,Robotics and its Applications,Dr. lada,3,3,2,5,2
118,CSE3020 ,Data Visualization,Dr. manju,5,4,1,1,2
119,CSE3025 ,Large Scale Data Processing,Dr. raghubeer,1,2,0,3,5
120,CSE4003 ,Cyber Security,Dr. sumesh,1,4,1,2,4
121,CSE3505,Foundations of Data Analytics,Dr. dataterya,4,4,2,2,3
122,MAT1014,Discrete Mathematics and Graph Theory,Dr. apsana,1,4,2,1,5
123,MAT3004 ,Applied Linear Algebra,Dr. rosanjahan,3,4,0,1,2
124,CSE4020 ,Machine Learning,Dr. harish,3,5,4,5,5
125,ECE3502,IoT Domain Analyst,Dr. ahupendra,2,1,3,4,5
126,CSE2001 ,Computer Architecture and Organization,Dr. nargis,3,2,1,2,2
